No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),% Karbo,% Protein,% Lemak,Waktu Makan,Kelompok Makanan,Mentah/Olahan
97,AP097,Pulut,"44,4","2,6","3,1",-,88.6,5.2,6.2,B/L/D,Serealia,Olahan
98,AP098,Pundut nasi,"15,1","1,9","4,1","0,4",71.6,9.0,19.4,B/L/D,Serealia,Olahan
99,AP100,Putri selat,"23,8","2,2","6,5",-,73.2,6.8,20.0,B/L/D,Serealia,Olahan
100,AP101,Putu sopa,"41,1","3,3","4,1",-,84.7,6.8,8.5,L/D,Serealia,Olahan
101,AP102,Renggi goreng,"64,1","4,7","21,8","6,4",70.8,5.2,24.1,B/L/D,Serealia,Olahan
102,AP103,Roti boong,"43,3","5,5","16,2",-,66.6,8.5,24.9,B/L,Serealia,Olahan
103,AP104,Roti warna sawo matang,"49,7","7,9","1,5",-,84.1,13.4,2.5,B/L,Serealia,Olahan
104,AP105,Sarimuka,"32,9","2,3","2,8",-,86.6,6.1,7.4,B/L/D,Serealia,Olahan
105,AP106,Spaghetti,"22,6","7,4","2,1",-,70.4,23.1,6.5,B/L/D,Serealia,Olahan
106,AP107,Srikaya ketan,"49,1","2,7","6,4",-,84.4,4.6,11.0,B/L,Serealia,Olahan
107,AP108,Sunduk lawang,"32,4","1,9","1,3",-,91.0,5.3,3.7,B/L/D,Serealia,Olahan
108,AP109,Suwir-suwir,"84,2","0,5","0,9","0,8",98.4,0.6,1.1,B/L/D,Serealia,Olahan
109,AP110,Tipa-tipa,"79,8","6,2","1,2","1,3",91.5,7.1,1.4,B/L/D,Serealia,Olahan
110,AP111,Wajit camilan,"63,3","6,3","2,7","6,9",87.6,8.7,3.7,B/L/D,Serealia,Olahan
111,AP112,Widaran,"80,7","1,3","10,7","0,2",87.1,1.4,11.5,B/L/D,Serealia,Olahan
112,AP113,Wingko babat,"51,4","3,2","15,1","2,4",73.7,4.6,21.7,B/L/D,Serealia,Olahan
113,AP114,Yangko,"58,1","3,0","1,1","0,8",93.4,4.8,1.8,B/L/D,Serealia,Olahan
114,AP99,Putri hijau,"37,2","5,4","2,1",-,83.2,12.1,4.7,B/L/D,Serealia,Olahan
117,AR003,"Beras giling var rojolele, mentah","77,1","8,4","1,7","0,2",88.4,9.6,1.9,L/D,Serealia,Tunggal
119,AR005,"Beras jagung kuning, kering, mentah","82,7","5,5","0,1","10,0",93.7,6.2,0.1,B/L/D,Serealia,Tunggal
120,AR006,"Beras jagung putih, kering, mentah","71,8","4,8","0,1","10,0",93.6,6.3,0.1,B/L/D,Serealia,Tunggal
121,AR007,"Beras ketan hitam tumbuk, mentah","74,5","8,0","2,3","1,0",87.9,9.4,2.7,B/L,Serealia,Tunggal
122,AR008,"Beras ketan putih tumbuk, mentah","78,4","7,4","0,8","0,4",90.5,8.5,0.9,B/L,Serealia,Tunggal
125,AR011,Beras parboiled,"80,0","6,8","0,6","0,5",91.5,7.8,0.7,B/L/D,Serealia,Tunggal
129,AR015,"Jagung muda, kuning, mentah","31,5","5,1","0,7","1,3",84.5,13.7,1.9,B/L/D,Serealia,Tunggal
130,AR016,"Jagung kuning pipil, kering, mentah","69,1","9,8","7,3","2,2",80.2,11.4,8.5,B/L/D,Serealia,Tunggal
131,AR017,"Jagung pipil var. harapan, kering","76,2","6,2","5,1","2,6",87.1,7.1,5.8,B/L/D,Serealia,Tunggal
132,AR018,"Jagung pipil var. metro, kering","78,0","5,5","4,6","2,9",88.5,6.2,5.2,B/L/D,Serealia,Tunggal
136,BP001,"Batatas kelapa, ubi, bakar","23,4","1,4","1,1","4,5",90.3,5.4,4.2,B/L,Umbi,Olahan
137,BP002,"Batatas kelapa, ubi, kukus","21,0","1,2","0,3","4,1",93.3,5.3,1.3,B/L,Umbi,Olahan
138,BP003,"Batatas tali, ubi, rebus","42,2","2,4","0,4","9,2",93.8,5.3,0.9,B/L,Umbi,Olahan
139,BP004,"Belitung, talas, kukus","34,2","1,2","0,4","1,0",95.5,3.4,1.1,B/L/D,Umbi,Olahan
140,BP005,"Bentul, talas, kukus","15,4","2,3","0,3","0,5",85.6,12.8,1.7,B/L/D,Umbi,Olahan
141,BP006,"Gadung, ubi, kukus","20,9","0,6","0,3","0,9",95.9,2.8,1.4,B/L,Umbi,Olahan
142,BP007,"Ganyong, rebus","23,8","0,8","0,2","0,9",96.0,3.2,0.8,B/L/D,Umbi,Olahan
143,BP008,Ketela pohon/singkong kukus,"36,4","1,2","0,3","1,3",96.0,3.2,0.8,B/L,Umbi,Olahan
144,BP009,"Suweg, talas, kukus","21,9","1,5","0,1","0,9",93.2,6.4,0.4,B/L/D,Umbi,Olahan
145,BP010,"Talas bogor, kukus","28,2","1,5","0,3","0,7",94.0,5.0,1.0,B/L/D,Umbi,Olahan
146,BP011,"Ubi jalar, kuning, kukus","23,8","0,7","0,3","1,0",96.0,2.8,1.2,B/L,Umbi,Olahan
